Categoría;Subcategoría;Supracategoria;Producto;Descripción;Stock ;Precio ;Modo de uso;Ingredientes;Propiedades;Beneficios;Item 1;Item 2;Item 3;Item 4;Item 5;Item 6
;;;;Producto peruano;;; 3. Retira todos los residuos de la espuma con agua tibia. ;Extracto de Caléndula;Sus propiedades antimicrobianas fortalecen la barrera cutánea de la piel, y previenen proliferación de bacterias y la obtrucción de poros.;;;;;;;
;;;;;;; 4. Seca suavemente con una toalla de algodón.;Glicerina sólida;Hidratante, emoliente y dermocompatible, ideal para todo tipo de piel, gracias a su pH neutro y sus propiedades hipoalergénicas.;;;;;;;
;;;;;;;5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de Avena y Miel;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;18,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.                                                                                                            ;Avena en polvo;"Gracias a las avenantramidas, la avena tiene propiedades antiinflamatorias que ayudan a calmar la piel irritada, reducir el enrojecimiento y aliviar el picor, síntomas comunes en pieles sensibles y con afecciones como eccema o dermatitis.
Además, fortalece la barrera cutánea de la piel que retiene la humedad y la protege de los agentes externos.
Por su contenido de grasas insaturadas, la avena ayuda a hidratar y suavizar la piel, contribuyendo a la regeneración celular.
Por último, se compone de saponinas, que son agentes limpiadores naturales. Esto permite que el jabón limpie la piel de impurezas y células muertas de forma suave, sin agredirla, y ayude a mantener el pH de la piel en equilibrio.";;;;;;;
;;;;Contenido: 100 gr;;;  2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.;Aceite de Coco ;Nutre la piel de manera intensa y profunda. Contiene ácido láurico, lo cual es extremadamente alto en propiedades antibacterianas,y antimicrobianas, beneficioso para la piel propensa al acné y otras infecciones dérmicas.;;;;;;;
;;;;Producto peruano;;; 3. Retira todos los residuos de la espuma con agua tibia. ;Miel de Abeja;Hidrata la piel, y tiene una acción antiiflamatoria. Mejora el tono y la textura de la piel, resaltando su brillo natural. La miel posee propiedades antibacterianas que ayudan a prevenir brotes de acné, al inhibir el crecimiento de bacterias que causan las espinillas.;;;;;;;
;;;;;;; 4. Seca suavemente con una toalla de algodón.;Glicerina sólida;Hidratante, emoliente y dermocompatible;;;;;;;
;;;;;;;5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de arcilla verde;Barra de jabón de glicerina sólida ambar con registro sanitario y pH neutro;16;18,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.                                                                                                            ;Arcilla Verde;Desintoxica y absorbe el exceso de sebo natural en la piel, proporcionando una limpieza profunda, especialmente para la piel propensa al acné.;;;;;;;
;;;;Contenido: 100 gr;;;  2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.;Aceite Esencial de Árbol de Te;Tiene propiedades antibacterianas y antisepticas. Ayuda a reducir el enrojecimiento de los brotes por sus propiedades antiinflamatorias. ;;;;;;;
;;;;Producto peruano;;; 3. Retira todos los residuos de la espuma con agua tibia. ;Aceite de Jojoba;Equilibra la producción del sebo natural de la piel. No es comedogenico. Tiene propiedades antibacterianas. Proporciona una hidratación duradera y rellena los espacios entre las células de la epidermis. Contiene un alto porcentaje de vitamina E y ceramidas, lo que lo convierte en un potente antioxidante.;;;;;;;
;;;;;;; 4. Seca suavemente con una toalla de algodón.;Glicerina sólida;Hidratante, emoliente y dermocompatible;;;;;;;
;;;;;;;5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de arcilla rosa;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;18,00 PEN;;Arcilla Rosa;"La arcilla rosa es ideal para la piel mixta, ya que absorbe el exceso de grasa y las impurezas de la zona T, sin resecar las áreas más secas, como las mejillas.
Gracias a sus propiedades minerales, purifica y desintoxica los poros, ofreciendo una exfoliación delicada, y mejorando la textura y el tono. Por su contenido de minerales, tiene propiedades antiinflamatorias que calman y revitalizan.";;;;;;;
;;;;Contenido: 100 gr;;;;Aceite de Rosa Mosqueta;Contiene retinoides naturales y vitamina C, ayudando a reducir la hiperpigmentación. Asimismo, los antioxidantes y la vitamina F trabajan en sinergia con la vitamina E para proteger la piel del estrés oxidativo y los radicales libres. Además fortalece la barrera lipidica de la piel para sellar la hidratación.;;;;;;;
;;;;Producto peruano;;;;Glicerina sólida;Hidratante, emoliente y dermocompatible;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de Camu Camu;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;19,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.                                                                                                            ;Camu Camu en polvo;Tiene un alto contenido de vitamina c, que protege la piel de los radicales libres, y el estrés oxidativo, además de inhibir la producción de melanina y prevenir la hiperpigmentación. ;;;;;;;
;;;;Contenido: 100 gr;;;  2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.;Aceite Esencial de Ylang Ylang;Equilibra la producción de sebo en el cutis. Es antiséptico y fomenta la cicatrización natural. Tiene un efecto antiinflamatorio. Provee una acción tonificante.;;;;;;;
;;;;Producto peruano;;; 3. Retira todos los residuos de la espuma con agua tibia. ;Manteca de Karité; Cubre la piel con una capa invisible que previene la deshidratación y protege de las agresiones externas como el clima frío o el viento, además de potenciar los activos de otras sustancias. Sus propiedades antiinflamatorias ayudan a calmar la piel irritada. Favorece la regeneración de los tejidos celulares;;;;;;;
;;;;;;; 4. Seca suavemente con una toalla de algodón.;Glicerina sólida;Hidratante, emoliente y dermocompatible;;;;;;;
;;;;;;;5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de Coco y Almendras;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;16,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.      2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.                     3. Retira todos los residuos de la espuma con agua tibia.                                                              4. Seca con una toalla de algodón.                        5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Almendras en polvo;Las almendras pulverizadas actúan como un exfoliante natural que ayuda a eliminar las células muertas de la piel y las impurezas sin irritarla, lo cual, convierte el jabón de almendras y miel ideal para pieles secas. ;;;;;;;
;;;;Contenido: 100 gr;;;;Aceite de Almendras;Gracias a su contenido de vitaminas (B, C, A, D, E y K) y ácidos grasos insaturados, el aceite ayuda a regenerar la piel y a calmar la comezón asociada a la piel seca o irritada. Es un aliado para la cicatrización de la piel, por lo que puede ayudar a reparar pequeñas grietas o lesione;;;;;;;
;;;;Producto peruano;;;;Aceite de Coco ;Nutre la piel de manera intensa y profunda. Contiene ácido láurico, lo cual es extremadamente alto en propiedades antibacterianas,y antimicrobianas, beneficioso para la piel propensa al acné y otras infecciones dérmicas.;;;;;;;
;;;;;;;;Glicerina sólida;Hidratante, emoliente y dermocompatible;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de Quinua y Miel;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;16,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.      2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.                     3. Retira todos los residuos de la espuma con agua tibia.                                                              4. Seca con una toalla de algodón.                        5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Quinua en polvo;"La quinua, contiene saponinas, agentes limpiadores naturales que eliminan la suciedad, las toxinas y el exceso de grasa. Aporta proteínas, vitaminas (B y E) y minerales (magnesio y zinc), que nutren la piel y mejoran su salud y vitalidad.
Además, los lípidos la brindan propiedades hidratantes y calmantes, que ayudan a aliviar problemas como la dermatitis, los eczemas y la psoriasis.";;;Piel Seca;;;;
;;;;Contenido: 100 gr;;;;Aceite de Coco ;Nutre la piel de manera intensa y profunda. Contiene ácido láurico, lo cual es extremadamente alto en propiedades antibacterianas,y antimicrobianas, beneficioso para la piel propensa al acné y otras infecciones dérmicas.;;;;;;;
;;;;Producto peruano;;;;Miel de Abeja;Hidrata la piel, y tiene una acción antiiflamatoria. Mejora el tono y la textura de la piel, resaltando su brillo natural. La miel posee propiedades antibacterianas que ayudan a prevenir brotes de acné, al inhibir el crecimiento de bacterias que causan las espinillas.;;;;;;;
;;;;;;;;Glicerina sólida;Hidratante, emoliente y dermocompatible;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de Almendras y Miel;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;16,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.      2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.                     3. Retira todos los residuos de la espuma con agua tibia.                                                              4. Seca con una toalla de algodón.                        5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Almendras en polvo;Las almendras pulverizadas actúan como un exfoliante natural que ayuda a eliminar las células muertas de la piel y las impurezas sin irritarla, lo cual, convierte el jabón de almendras y miel ideal para pieles secas. ;;;;;;;
;;;;Contenido: 100 gr;;;;Aceite de Almendras;Gracias a su contenido de vitaminas (B, C, A, D, E y K) y ácidos grasos insaturados, el aceite ayuda a regenerar la piel y a calmar la comezón asociada a la piel seca o irritada. Es un aliado para la cicatrización de la piel, por lo que puede ayudar a reparar pequeñas grietas o lesione;;;;;;;
;;;;Producto peruano;;;;Miel de Abeja;Hidrata profundamente la piel, y tiene una acción antiiflamatoria. Mejora el tono y la textura de la piel, resaltando su brillo natural. La miel posee propiedades antibacterianas que ayudan a prevenir brotes de acné, al inhibir el crecimiento de bacterias que causan las espinillas.;;;;;;;
;;;;;;;;Glicerina sólida;Hidratante, emoliente y dermocompatible;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;;Agua Micelar Bifásica Glow Your Skin;Botella de plástico;16;42,00 PEN;"1. Humedece un disco de algodón, o pad reutilizable de microfibra con el agua micelar.                                                  2. Desliza el disco de algodón sobre tu piel con movimientos suaves y circulares. No es necesario frotar con fuerza.
Para maquillajes más resistentes: Mantén el disco empapado sobre la zona durante unos segundos antes de retirarlo con suavidad. Esto permite que las micelas disuelvan el producto más fácilmente.
Repite si es necesario: Usa discos limpios hasta que el maquillaje sea eliminado.";Hidrolato de Rosas;;;;;;;;
;;;;Contenido: 100 ml;;;;Aceite de Jojoba;;;;;;;;
;;;;Producto peruano;;;;Extracto de Avena;;;;;;;;
;;;;;;;;Decylglucosido;;;;;;;;
Cuidado facial;Tonificantes;;Tónico facial;Botella de plástico;16;35,00 PEN;1. Rocía el producto a una distancia corta.           2. Da unos toques suaves sobre tu rostro para aseguarte de que el tónico haya sido absorbido;Hidrolato de Rosas;;;;;;;;
;;;;Contenido: 100 ml;;;;Vitamina B5;;;;;;;;
;;;;Producto peruano;;;;Extracto de Rosas;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
Cuidado facial;Hidratantes;;Serum de Niacinamide 5% ;Botella de plástico;16;45,00 PEN;;Niacinamide 5%;;;;;;;;
;;;;Contenido: 100 ml;;;;Hidrolato de Rosas;;;;;;;;
;;;;Producto peruano;;;;Extracto de Manzanilla;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;Goma Xantán;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
Cuidado facial;Hidratantes;;Serum de Ácido Hialurónico 10% ;;16;45,00 PEN;;Ácido Hialurónico Nanosomado 10%;;;;;;;;
;;;;;;;;Hidrolato de Rosas;;;;;;;;
;;;;;;;;Extracto de Aloe Vera;;;;;;;;
;;;;;;;;Goma Xantán;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;Sorbato de Potasio;;;;;;;;
;;;;;;;;Benzoato de Sodio;;;;;;;;
Cuidado facial;Hidratantes;;Crema de Noche con Ácido Hialurónico 10%;;16;39,00 PEN;1. Aplica en la noche, como último paso de tu rutina facial.  ;Ácido Hialurónico Nanosomado 10%;;;;;;;;
;;;;;;;;Aceite Esencial de Ylang Ylang;Equilibra la producción de sebo en el cutis. Es antiséptico y fomenta la cicatrización natural. Tiene un efecto antiinflamatorio. Provee una acción tonificante.;;;;;;;
;;;;;;;;Extracto de Aloe Vera;;;;;;;;
;;;;;;;;Manteca de Mango;;;;;;;;
;;;;;;;;Aceite de Coco fraccionado;;;;;;;;
;;;;;;;;Aceite de Jojoba;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
;;;;;;;;Tensioactivo olivem 1000;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
;;;;;;;;Niacinamide 3%;;;;;;;;
;;;;;;;;Aceite Esencial de Neroli;;;;;;;;
;;;;;;;;Extracto de Manzanilla;;;;;;;;
Cuidado facial;Hidratantes;;Crema Aclaradora con Rosa Mosqueta y Niacinamida;;16;59,00 PEN;;Manteca de Karité; Cubre la piel con una capa invisible que previene la deshidratación y protege de las agresiones externas como el clima frío o el viento, además de potenciar los activos de otras sustancias. Sus propiedades antiinflamatorias ayudan a calmar la piel irritada. Favorece la regeneración de los tejidos celulares;;;;;;;
;;;;;;;;Aceite de Rosa Mosqueta;;;;;;;;
;;;;;;;;Aceite de Almendras;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
;;;;;;;;Tensioactivo olivem 1000;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
;;;;;;;;Niacinamide 3%;;;;;;;;
;;;;;;;;Aceite Esencial de Lavanda;;;;;;;;
Cuidado facial;Hidratantes;;Crema con Protección Solar y Niacinamide 3%;;16;59,00 PEN;;Manteca de Karité; Cubre la piel con una capa invisible que previene la deshidratación y protege de las agresiones externas como el clima frío o el viento, además de potenciar los activos de otras sustancias. Sus propiedades antiinflamatorias ayudan a calmar la piel irritada. Favorece la regeneración de los tejidos celulares;;;;;;;
;;;;;;;;Oleato de Calendula ;;;;;;;;
;;;;;;;;Aceite de Jojoba;;;;;;;;
;;;;;;;;Uria;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
;;;;;;;;Tensioactivo olivem 1000;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
;Hidratantes;;Óleo facial de Rosa Mosqueta y Argán;;16;39,00 PEN;"Aplica unas gotas sobre el rostro limpio y tonificado, preferiblemente por la noche. Masajea suavemente hasta su total absorción. Si lo aplicas en la mañana, usa protector solar.
Los resultados suelen ser visibles tras 3 a 4 semanas de uso constante.";Aceite Esencial de Rosas;;;;;;;;
;;;;;;;;Aceite de Rosa Mosqueta;;;;;;;;
;;;;;;;;Aceite de Argán;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Hidratantes;;Gel Contorno de Ojos;;16;39,00 PEN;;Ácido Hialurónico Nanosomado 5%;;;;;;;;
